Word,POS Tag,Meaning
ಜಾಗತಿಕ,(ನಾ),ಜಗತ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ.
ಜಾಗರ,(ನಾ),"ನವಿಲಿನ ಕುಣಿತ, ಎಚ್ಚರ, ನಿದ್ದೆಯಿಲ್ಲದಿರುವಿಕೆ."
ಜಾಗರಣೆ,(ನಾ),"ನಿದ್ದೆಮಾಡದಿರುವಿಕೆ, ರಾತ್ರಿಯೆಲ್ಲಾ ಎಚ್ಚರವಿದ್ದು ನಡೆಸುವ ಪೂಜೆ."
ಜಾಗರೂಕ,(ಗು),ಎಚ್ಚರಿಕೆಯಿಂದಿರುವ.
ಜಾಗರೂಕತೆ,(ನಾ),"ಎಚ್ಚರದಿಂದಿರುವಿಕೆ, ಹುಷಾರು."
ಜಾಗೃತ,(ನಾ),"ಎಚ್ಚರಗೊಂಡವನು, ಜಾಗರೂಕ."
ಜಾಗೃತಿ,(ನಾ),"ಎಚ್ಚರ, ಆಲಸ್ಯವನ್ನು ಬಿಟ್ಟು ಕಾರ್ಯೋನ್ಮುಖವಾಗುವಿಕೆ."
ಜಾಗ್ರತೆ,(ನಾ),"ಶೀಘ್ರತೆ, ಎಚ್ಚರಿಕೆ."
ಜಾಜಿ,(ನಾ),ಒಂದು ಬಗೆಯ ಹೂವು.
ಜಾಡಮಾಲಿ,(ನಾ),ಕಸಗುಡಿಸುವವನು.
ಜಾಡಿ,(ನಾ),"ದಪ್ಪನೆಯ ಕಂಬಳಿ, ಮಣ್ಣಿನ ಅಥವಾ ಪಿಂಗಾಣಿಯ ಪಾತ್ರೆ."
ಜಾಡಿಸು,(ಕ್ರಿ),"ಕಸವನ್ನು ಗುಡಿಸು, ನೂಕು, ನಿಂದಿಸು."
ಜಾಡು,(ನಾ),"ನಡೆದು ನಡೆದು ಸವೆದ ದಾರಿ, ಸುಳಿವು, ರೀತಿ."
ಜಾಡ್ಯ,(ನಾ),"ರೋಗೆ, ಬೇನೆ."
ಜಾಣ,(ನಾ),ಬುದ್ಧಿವಂತ.
ಜಾಣತನ,(ನಾ),ಬುದ್ಧಿವಂತಿಕೆ.
ಜಾಣು,(ನಾ),ಬುದ್ಧಿವಂತಿಕೆ.
ಜಾಣ್ಮೆ,(ನಾ),"ಜಾಣತನ, ಕೌಶಲ್ಯ."
ಜಾತಕ,(ನಾ),"ಜನ್ಮ ಕಾಲದ ತಿಥಿ, ವಾರ, ನಕ್ಷತ್ರ, ಸಂವತ್ಸರ ಮುಂತಾದ ವಿವರಗಳನ್ನೂ ತಿಳಿಸುವ ಪತ್ರಿಕೆ, ಜನ್ಮಕುಂಡಲಿ, ಹುಟ್ಟಿದವನು, ಬುದ್ಧನಿಗೆ ಸಂಬಂಧಿಸಿದ ಪೂರ್ವ ಜನ್ಮಗಳ ಕಥೆಗಳು."
ಜಾತಿ,(ನಾ),"ಬ್ರಾಹ್ಮಣ ಮೊದಲಾದ ಚತುರ್ವರ್ಣಗಳು, ಹುಟ್ಟಿದ ಕುಲ, ಸ್ವಭಾವ, ವರ್ಗ, ಶ್ರೇಷ್ಠ."
ಜಾತ್ರೆ,(ನಾ),"ಯಾತ್ರೆ, ಉತ್ಸವ, ಪರಿಸೆ, ಜನಗಳ ಗುಂಪು."
ಜಾದು,(ನಾ),"ಕೆಂಪು ಬಣ್ಣದ ಶಿಲೆ, ಕಣ್ಣುಕಟ್ಟು ವಿದ್ಯೆ."
ಜಾದುಗಾರ,(ನಾ),"ಯಕ್ಷಣಿ ವಿದ್ಯೆ ಬಲ್ಲವನು, ಮಾಟಗಾರ, ಮೋಡಿಕಾರ."
ಜಾನ,(ನಾ),ಧ್ಯಾನ.
ಜಾನಪದ,"(ನಾ),(ಗು)","ನಾಡಿನ ಪ್ರಜೆ. ನಾಡಿಗೆ ಸಂಬಂಧಿಸಿದ, ಜನಸಾಮಾನ್ಯಕ್ಕೆ ಸಂಬಂಧಪಟ್ಟ, ಜನಪದಕ್ಕೆ ಸಂಬಂಧಪಟ್ಟ ಅಧ್ಯಯನ."
ಜಾನು,(ನಾ),ಮಂಡಿ.
ಜಾನುವಾರು,(ನಾ),"ದನಕರು, ಕಾಲ್ನಡೆ."
ಜಾಪಾಳ,(ನಾ),ಒಂದು ಜಾತಿಯ ಔಷದ ಸಸ್ಯ ಮತ್ತು ಅದರ ಬೀಜ.
ಜಾಮ,(ನಾ),"ದಿವಸದ ಎಂಟನೆಯ ಒಂದು ಭಾಗದಷ್ಟು ಕಾಲ, ಯಾಮ, ಜಾವ."
ಜಾಮೀನು,(ನಾ),"ಹೊಣೆ, ಈಡು."
ಜಾಯಮಾನ,(ನಾ),"ಸ್ವಭಾವ, ಹುಟ್ಟುಗುಣ."
ಜಾರ,(ನಾ),"ವ್ಯಭಿಚಾರಿ, ಹಾದರ ಮಾಡುವವನು."
ಜಾರಿ,(ನಾ),"ಅನುಷ್ಠಾನ, ಕಾರ್ಯರೂಪಕ್ಕೆ ತಂದಿರುವುದು."
ಜಾರಿಗೊಳಿಸು,(ನಾ),ಕಾರ್ಯರೂಪಕ್ಕೆ ತರು.
ಜಾರು,"(ನಾ),(ಕ್ರಿ)","ಇಳಿಜಾರಾದ ಪ್ರದೇಶ. ನುಣಿಚುಕೊಳ್ಳು, ಮೇಲಿನಿಂದ ಕೆಳಕ್ಕೆ ವೇಗವಾಗಿ ಇಳಿ, ನಡತೆ ತಪ್ಪು."
ಜಾರೆ,(ನಾ),"ಹಾದರಗಿತ್ತಿ, ವ್ಯಭಿಚಾರಿಣಿ."
ಜಾಲ,(ನಾ),"ಬಲೆ, ಮೋಸ, ಗುಂಪು."
ಜಾಲಂದ್ರ,(ನಾ),ಬಲೆಯಂತೆ ಕಂಡಿಗಳನು ಒಳಗೊಂಡಿರುವ ಕಿಟಕಿ.
ಜಾಲರಿ,(ನಾ),"ಮೇಲ್ಕಟ್ಟು, ಕಣ್ಣು ಕಣ್ಣಾಗಿರುವ ತಂತಿಯ ಚೌಕಟ್ಟು."
ಜಾಲಾಡು,(ಕ್ರಿ),"ಶೋಧಿಸು, ಕೊಳೆ ಹೋಗುವಂತೆ ನೀರಿನಲ್ಲಿ ಬಟ್ಟೆ ಮೊದಲಾದವುಗಳನ್ನು ಚೆನ್ನಾಗಿ ಅಲ್ಲಾಡಿಸು."
ಜಾಲಿ,(ನಾ),"ಒಂದು ಜಾತಿಯ ಮುಳ್ಳು ಮರ, ಗೊಬ್ಬಳಿ."
ಜಾಲಿಸು,(ಕ್ರಿ),ಧಾನ್ಯದಲ್ಲಿರುವ ಕಲ್ಲು ತಳದಲ್ಲಿ ನಿಲ್ಲುವಂತೆ ನೀರಿನಲ್ಲಿ ತೊಳೆ.
ಜಾವ,(ನಾ),"ದಿವಸದ ಎಂಟನೆಯ ಒಂದರಷ್ಟು ಕಾಲ, ಏಳುವರೆ ಗಳಿಗೆ, ಯಾಮ, ಕಾವಲು."
ಜಾಸ್ತಿ,(ನಾ),ಹೆಚ್ಚಳ.
ಜಾಹಿರಾತು,(ನಾ),ಪ್ರಕಟಣೆ.
ಜಾಹೀರು,(ನಾ),"ಪ್ರಸಿದ್ದ ಪಡಿಸುವಿಕೆ, ಪ್ರಕಟಣೆ."
ಜಾಳಿಗೆ,(ನಾ),"ಬಲೆ, ಹಣದ ಚೀಲ."
ಜಾಳೀಸು,(ಕ್ರಿ),"ಚಲಿಸು, ಸುರಿ, ಬೀಸು, ನೀಗು."
ಜಾಳು,(ನಾ),"ನೆಯ್ಗೆಯಲ್ಲಿ ಎಳೆಗಳು ಒಂದಕ್ಕೊಂದು ದೂರವಾಗಿರುವುದು, ಹುರುಳಿಲ್ಲದುದು."
ಜಿಂಕೆ,(ನಾ),"ಕೊಂಬುಗಳಿರುವ ಮೆಲಕು ಹಾಕುವ ಜಾತಿಗೆ ಸೇರದ ಪ್ರಾಣಿ, ಹರಿಣ, ಎರಳೆ, ಹುಲ್ಲೆ."
ಜಿಗಣೆ,(ನಾ),"ರಕ್ತವನ್ನು ಹೀರುವ, ಜಲವಾಸಿಯಾದ ಒಂದು ಹುಳು, ನೇಗಿಲ ಗುಳವನ್ನು ಭದ್ರವಾಗಿ ಹಿಡಿಯುವ ಒಂದು ಸಾಧನ."
ಜಿಗಲು,(ಕ್ರಿ),ಅಂಟಿಕೊಳ್ಳು.
ಜಿಗಳೆ,(ನಾ),ಜಿಗಣೆ.
ಜಿಗಿ,(ಕ್ರಿ),"ಹಾರು, ನೆಗೆ."
ಜಿಗುಟು,"(ನಾ),(ಕ್ರಿ)","ಅಂಟು, ಜಿಪುಣತನ. ಗಿಂಡು."
ಜಿಜ್ಞಾಸು,(ನಾ),"ತಿಳಿದುಕೊಳ್ಳುವ ಆಪೇಕ್ಷೆಯುಳ್ಳವನು, ವಿದ್ಯಾರ್ಥಿ."
ಜಿಡ್ಡು,(ನಾ),"ಎಣ್ಣೆ, ತುಪ್ಪ ಮುಂತಾದವುಗಳ ಜಿಗುಟು."
ಜಿದ್ದು,(ನಾ),"ಬುದ್ದಮಾತ್ಸರ್ಯ, ಪೈಪೋಟಿ."
ಜಿನುಗು,(ಕ್ರಿ),"ಅಸ್ಪಷ್ಟವಾಗಿ ಧ್ವನಿಮಾಡು, ಝೇಂಕರಿಸು, ಪಿಸುಮಾತಾಡು, ತೊಟ್ಟಿಕ್ಕು."
ಜಿಪುಣ,(ನಾ),"ಲೋಭಿ , ಕೃಪಣ."
ಜಿರಳೆ,(ನಾ),"ಒಂದು ಬಗೆಯ ಕೀಟ, ಜಿರಲೆ."
ಜಿರಾಫೆ,(ನಾ),ಉದ್ದ ಕತ್ತಿನ ಒಂದು ಜಾತಿಯ ಪ್ರಾಣಿ.
ಜಿರಾಯಿತು,(ನಾ),ಖುಷ್ಕಿ ವ್ಯವಸಾಯ.
ಜಿಲ್ಲಾ,(ನಾ),"ಹಲವು ತಾಲ್ಲೂಕುಗಳನ್ನೊಳಗೊಂಡ ಭಾಗ, ಡಿಸ್ಟ್ರಿಕ್ಟ್."
ಜಿಹ್ವೆ,(ನಾ),ನಾಲಗೆ.
ಜೀಕು,(ಕ್ರಿ),"ತೂಗು, ತೂಗಾಡಿಸು."
ಜೀಡು,(ನಾ),"ಜೇಡರ ಬಲೆ, ಧೂಳು."
ಜೀತ,(ನಾ),"ಕೂಲಿ, ಚಾಕರಿ."
ಜೀನ,(ನಾ),ಜಿಪುಣ.
ಜೀನು,(ನಾ),ಕುದುರೆಯ ಮೇಲೆ ಕುಳಿತುಕೊಳ್ಳಲು ಹಾಕುವ ಚರ್ಮದ ಸಾಧನ.
ಜೀಯ,(ನಾ),"ಪ್ರಭು, ಒಡೆಯ."
ಜೀರಿಗೆ,(ನಾ),ಒಂದು ಬಗೆಯ ಮಸಾಲೆ ಕಾಳು.
ಜೀರು,(ಕ್ರಿ),"ಝೇಂಕರಿಸು, ಬಿಗುಮಾಡು, ಚಿಮ್ಮು ."
ಜೀರುಂಡೆ,(ನಾ),"ಒಂದು ಜಾತಿಯ ಹುಳು, ಚಿಮ್ಮಂಡೆ."
ಜೀರ್ಣ,"(ನಾ),(ಗು)","ಹಳೆಯದು, ಮುಪ್ಪು, ಅರಗುವಿಕೆ. ಶಿಥಿಲವಾದ."
ಜೀವ,(ನಾ),"ಪ್ರಾಣ, ಪ್ರಾಣಿ, ಜೀವಾತ್ಮ."
ಜೀವಂತ,(ಗು),ಬದುಕಿರುವ.
ಜೀವನ,(ನಾ),"ಬಾಳು, ವೃತ್ತಿ, ನೀರು."
ಜೀವನ್ಮುಕ್ತ,(ನಾ),ಬದುಕಿರುವಾಗಲೆ ಬ್ರಹ್ಮಜ್ಞಾನವನ್ನು ಪಡೆದು ಸಂಸಾರದಿಂದ ಬಿಡುಗಡೆ ಪಡೆದವನು.
ಜೀವಾತು,(ನಾ),"ಅನ್ನಾಂಗ, ಜೀವಸತ್ವ."
ಜೀವಾಳ,(ನಾ),"ತಿರುಳು, ಸತ್ವ."
ಜೀವಿ,(ನಾ),ಚೈತನ್ಯವುಳ್ಳ ಜೀವ.
ಜೀವಿತ,(ನಾ),"ಜೀವ, ಬಾಳು, ವೃತ್ತಿ."
ಜೀವು,(ಕ್ರಿ),"ಸೀಸದ ಕಡ್ಡಿ, ಉಗುರು ಮೊದಲಾದುವನ್ನು ತೆಳುವು ಮಾಡು, ಹೆರೆ."
ಜುಂಜು,(ನಾ),ಒರಟಾದ ಕೂದಲು.
ಜುಕುತಿ,(ನಾ),"ಉಪಾಯ, ಯುಕ್ತಿ."
ಜುಗಾರಿ,(ನಾ),ಜೂಜುಕೋರ.
ಜುಗುಪ್ಸೆ,(ನಾ),"ಬೇಸರ, ಅಸಹ್ಯ."
ಜುಗ್ಗ,(ನಾ),ಜಿಪುಣ.
ಜುಟ್ಟು,(ನಾ),"ತಲೆಗೂದಲು, ಚಂಡಿಕೆ, ನವಿಲು, ಕೋಳಿ ಮುಂತಾದವುಗಳ ತಲೆಯ ಮೇಲಿರುವ ಕೊಟ್ಟು."
ಜುಣುಗು,(ಕ್ರಿ),"ಜಾರು, ನುಣುಚಿಕೊಳ್ಳು."
ಜುಬ್ಬ,(ನಾ),ಒಂದು ಬಗೆಯ ಉದ್ದನೆಯ ಅಂಗಿ.
ಜುಮಕಿ,(ನಾ),ಕಿವಿಗೆ ಹಾಕಿ ಕೊಳ್ಳುವ ಒಂದು ಬಗೆಯ ಒಡವೆ.
ಜುಮ್ಮು,(ನಾ),ರೋಮಾಂಚನ.
ಜುಮ್ಲಾ,(ನಾ),"ಒಟ್ಟು, ಮೊತ್ತ."
ಜುಲಾಬು,(ನಾ),ಭೇದಿ.
ಜುಲುಮೆ,(ನಾ),"ಒತ್ತಾಯ, ಬಲತ್ಕಾರ."
ಜುಲ್ಮಾನೆ,(ನಾ),"ತಪ್ಪಿಗಾಗಿ ತೆರಬೇಕಾದ ಹಣ, ದಂಡ."
ಜೂಗರಿಸು,(ಕ್ರಿ),"ತೂಕಡಿಸು, ಆಲಸ್ಯದಿಂದ ಕೂಡಿರು."
ಜೂಜು,(ನಾ),"ದ್ಯೂತ, ಪಂದ್ಯ ಕಟ್ಟಿ ಆಡುವ ಆಟ."
ಜೂಟ,(ನಾ),ಜಡೆಗಟ್ಟಿದ ಕೂದಲು.
ಜೂಟಾಟ,(ನಾ),"ಒಂದು ಆಟ, ಮುಟ್ಟುವ ಆಟ."
ಜೂದು,(ನಾ),ಜೂಜು.
ಜೂಬು,(ನಾ),"ದೆವ್ವ, ಭಯಾನಕವಾದುದು."
ಜೂಲು,(ನಾ),"ಉದ್ದವಾದ ಕೂದಲು, ಪ್ರಾಣಿಗಳ ಮೈಮೇಲೆ ಅಲಂಕಾರಕ್ಕಾಗಿ ಹಾಕುವ ಗೌಸು, ಹರಿದ ಬಟ್ಟೆ, ಚಿಂದಿ."
ಜೇಡ,(ನಾ),"ನೇಯುವವನು, ನೇಕಾರ, ಬಲೆ ನೇಯುವ ಹುಳು."
ಜೇಡಿ,(ನಾ),ಒಂದು ಬಗೆಯ ಮೃದುವಾದ ಜಿಗುಟು ಮಣ್ಣು.
ಜೇನು,(ನಾ),"ಜೇನುತುಪ್ಪ, ಮಕರಂದ."
ಜೇಬು,(ನಾ),"ಕಿಸೆ , ಬೊಕ್ಕಣ."
ಜೇವಣ,(ನಾ),ಊಟ.
ಜೊಂಡಿಗ,(ನಾ),ಜಿರಲೆ.
ಜೊಂಡು,(ನಾ),ಒಂದು ಜಾತಿಯ ಹುಲ್ಲು.
ಜೊಂಪಿಸು,(ಕಿ),"ನಡುಗಿಸು , ಅಮಲೇರಿ ಮೈಮರೆ, ತೂಗಾಡು."
ಜೊಂಪು,(ನಾ),"ಮೈಮರೆವು, ತೂಕಡಿಕೆ."
ಜೊಂಪೆ,(ನಾ),ಗೊಂಚಲು
ಜೊತಿ,(ನಾ),ಜೊತ್ತ.
ಜೊತೆ,(ನಾ),"ಕೂಡಿರುವುದು , ಸಹವಾಸ ,ಜೋಡಿ."
ಜೊತ್ತ,(ನಾ),"ಎತ್ತುಗಳನ್ನು ನೊಗಕ್ಕೆ ಕಟ್ಟುವ ಹಗ್ಗ, ಜೊತೆ."
ಜೊಮ್ಮು,(ನಾ),"ಮರಗಟ್ಟಿದ ಸ್ಥಿತಿ, ಜೋಮು, ಅಮಲು."
ಜೊಲ್ಲು,(ನಾ),"ಲಾಲಾರಸ , ಉಗುಳು."
ಜೋ,(ನಾ),ಜೋಗುಳದ ಧ್ವನಿ.
ಜೋಕಾಲಿ,(ನಾ),"ಠೀವಿ, ಡೌಲು."
ಜೋಕುಮಾರ,(ನಾ),ಒಬ್ಬ ಜನಪದ ದೇವತೆಯ ಹೆಸರು.
ಜೋಕೆ,(ನಾ),"ಎಚ್ಚರಿಕೆ, ಅಂದ, ರೀತಿ."
ಜೋಗ,(ನಾ),"ತಪಸ್ಸು, ಯೋಗ, ಸೇರಿಕೆ."
ಜೋಗಿ,(ನಾ),"ಯೋಗಿ, ತಪಸ್ವಿ, ಬೈರಾಗಿ."
ಜೋಗುಳ,(ನಾ),"ಮಕ್ಕಳನ್ನು ಮಲಗಿಸುವಾಗ ಹಾಡುವ ಹಾಡು, ಲಾಲಿ."
ಜೋಟಿಕೋಲು,(ನಾ),ಕೊಕ್ಕೆ.
ಜೋಡಣೆ,(ನಾ),"ಸೇರಿಕೆ, ರಾಶಿ ಹಾಕುವುದು, ಸಿದ್ಧತೆ."
ಜೋಡಿ,(ನಾ),"ಸಹವಾಸ, ಜೊತೆ."
ಜೋಡು,(ನಾ),"ಜೊತೆ, ಸಮಾನ, ಎಕ್ಕಡ, ಕವಚ."
ಜೋತುಬೀಳು,(ಕ್ರಿ),ಇಳಿಬಿಡು.
ಜೋಪಡಿ,(ನಾ),ಗುಡಿಸಲು.
ಜೋಪಾನ,(ನಾ),"ಕಾಪಾಡುವಿಕೆ, ಎಚ್ಚರಿಕೆ."
ಜೋಬದ್ರ,(ನಾ),"ಆಲಸಿ, ಮೈಗಳ್ಳ."
ಜೋಮು,(ನಾ),"ಮೈ ಮರಗುಟ್ಟುವುದು, ತೂಕಡಿಕೆ."
ಜೋಯಿಸ,(ನಾ),"ಗ್ರಹಗತಿಯನ್ನು ಹೇಳುವವನು, ಜ್ಯೋತಿಷಿ."
ಜೋರು,(ನಾ),"ದರ್ಪ, ವೇಗ, ರಭಸ, ಬಲವಾದುದು, ಒತ್ತಾಯ, ಹೆಚ್ಚಳ."
ಜೋಲಿ,(ನಾ),"ಗೋಜು, ತೂಗಾಟ, ಸಮರ್ಥಕ."
ಜೋಲು,"(ನಾ),(ಕ್ರಿ)","ಜೋತು ಬೀಳುವಿಕೆ. ಇಳಿ ಬೀಳು, ತೂಗಾಡು, ಸಡಿಲವಾಗು, ಕುಗ್ಗು, ಮನಸೋಲು."
ಜೋಳ,(ನಾ),ಒಂದು ಬಗೆಯ ಧಾನ್ಯ.
ಜೋಳಿ,(ನಾ),"ಜೋಡಿ, ಜೋಳಿಗೆ."
ಜೋಳಿಗೆ,(ನಾ),"ಬಟ್ಟೆಯಿಂದ ಮಾಡಿದ ತೊಟ್ಟಿಲು, ಭಿಕ್ಷೆಯ ಚೀಲ."
ಜೌಗು,(ನಾ),ಯಾವಾಗಲೂ ತೇವವಾಗಿರುವ ಭೂಮಿ.
ಜ್ಞಾನ,(ನಾ),"ಅರಿವು, ಬ್ರಹ್ಮಜ್ಞಾನ, ಎಚ್ಚರಿಕೆ, ಎಚ್ಚರ."
ಜ್ಞಾನಿ,(ನಾ),ಬಲ್ಲವನು.
ಜ್ಞಾಪಕ,"(ನಾ),(ಗು)","ನೆನಪು, ಸ್ಮರಣೆ. ನೆನಪು ಮಾಡುವ."
ಜ್ಯೇಷ್ಠ,"(ನಾ),(ಗು)","ಅಣ್ಣ, ಹಿರಿಯ ಮಗ, ಹಿರಿಯ, ಚಾಂದ್ರಮಾನ ವರ್ಷದ ಮೂರನೆಯ ತಿಂಗಳು, ಜ್ಯೇಷ್ಠಮಾಸ. ಉತ್ತಮ."
ಜ್ಯೇಷ್ಠೆ,(ನಾ),"ಹಿರಿಯಳು, ದುರದೃಷ್ಟದ ಅಧಿದೇವತೆ."
ಜ್ಯೋತಿ,(ನಾ),"ಬೆಳಕು, ದೀಪ."
ಜ್ಯೋತಿಷ,(ನಾ),ಗ್ರಹಗತಿಗಳನ್ನು ತಿಳಿಸುವ ಶಾಸ್ತ್ರ.
ಜ್ವರ,(ನಾ),ಮೈ ಬಿಸಿಯಾಗುವ ಒಂದು ಬಗೆಯ ರೋಗ ಲಕ್ಷಣ.
ಜ್ವರಗಡ್ಡೆ,(ನಾ),ಜ್ವರದಿಂದ ಬರುವ ಒಂದು ಖಾಯಿಲೆ.
ಜ್ವಲಿಸು,(ಕ್ರಿ),"ಹೊಳೆ, ಸುಡು."
ಜ್ವಾಲಾಮುಖಿ,(ನಾ),"ಲಾವಾರಸ ಮುಂತಾದವನ್ನು ಉಗುಳುವ ಪರ್ವತ, ಅಗ್ನಿಪರ್ವತ."
ಜ್ವಾಲೆ,(ನಾ),"ಬೆಂಕಿಯ ನಾಲಗೆ, ಬೆಂಕಿ."
ಝಂಡಾ,(ನಾ),ಬಾವುಟ.
ಝಂಡಾ ಊರು,(ಕ್ರಿ),"ಗಟ್ಟಿಯಾಗಿ ತಳವೂರು, ಸ್ಥಾನ ಭದ್ರಪಡಿಸಿಕೊಳ್ಳು."
ಝಡತಿ,(ನಾ),"ಚನ್ನಾಗಿ ಹುಡುಕುವುದು, ಶೋಧನೆ."
ಝರಿ,(ನಾ),ಬೆಟ್ಟದ ಕೊರಕಲಲ್ಲಿ ಹರಿಯುವ ನದಿ.
ಝಲ್ಲಿ,(ನಾ),"ಗೊಂಚಲು, ಕುಚ್ಚು, ಚಾಮರ."
ಝಳ,(ನಾ),"ಪ್ರಕಾಶ, ಸೆಕೆ, ಉಷ್ಣತೆ."
ಝಳಪ,(ನಾ),"ಬೀಸುವಿಕೆ, ಪ್ರಕಾಶ."
ಝಳಪಿಸು,(ಕ್ರಿ),ರಭಸದಿಂದ ತೂಗು.
ಝಾಡಿಸು,(ಕ್ರಿ),"ಕೊಡಹು, ನಿಂದಿಸು, ದಬಾಯಿಸು."
ಝೇಂಕಾರ,(ನಾ),"ದುಂಬಿಯ ಧ್ವನಿ, ಬಿಲ್ಲಿನ ಹೆದೆಯ ಠಂಕಾರ."
ಝೊಂಪು,(ನಾ),ಮೈಮರೆವು.
ಟಂಕ,(ನಾ),"ಕಲ್ಲುಳಿ, ಚಾಣ, ಮುದ್ರೆಯೊತ್ತಿದ ನಾಣ್ಯ."
ಟಂಕಾರ,(ನಾ),ಬಿಲ್ಲಿನ ಹೆದೆಯ ಠೇಂಕಾರ.
ಟಕ್ಕು,(ನಾ),"ಮೋಸ, ತೋರಿಕೆ."
ಟಗರು,(ನಾ),"ತಗರು, ಗಂಡುಕುರಿ."
ಟಪಾಲು,(ನಾ),"ಅಂಚೆ, ಅಂಚೆಯ ಮೂಲಕ ರವಾನೆ ಆಗುವ ಪತ್ರ ಮೊದಲಾದುವು."
ಟಪೋರಿ,(ನಾ),"ದುಷ್ಟ, ಕೆಟ್ಟ, ಪೋಲಿ."
ಟಪ್ಪೆ,(ನಾ),"ತಂಗುದಾಣ, ಟಪಾಲು."
ಟಮಾಳ,(ನಾ),"ಮೋಸ, ವಂಚನೆಯ ಮಾತು."
ಟವಣೆ,(ನಾ),"ಕೂಡುವ ಮತ್ತು ಕಳೆಯುವ ಲೆಕ್ಕ, ಅಟ್ಟವಣೆ."
ಟವಳಿ,(ನಾ),"ಮೋಸ, ವಂಚನೆ."
ಟಾಂಗ,(ನಾ),ಒಂಟಿ ಕುದುರೆಯ ಗಾಡಿ.
ಟಾಕಣ,(ನಾ),ಒಂದು ಜಾತಿಯ ಗಿಡ್ಡ ಕುದುರೆ.
ಟಾಕು,(ನಾ),"ಒಂದು ಬಗೆಯ ಹೊಲಿಗೆ, ಬೆಡಗು."
ಟಾಕುಟೀಕು,(ನಾ),"ದವಲತ್ತು, ಆಡಂಬರ, ಠಾಕುಟೀಕು."
ಟಿಕ್ಕೆ,(ನಾ),ಮಾಣಿಕ್ಯದಂತೆ ಕಾಣುವ ಗಾಜಿನ ಮಣಿ.
ಟಿಟ್ಟಿಭ,(ನಾ),ಒಂದು ಜಾತಿಯ ಪಕ್ಷಿ.
ಟಿಪ್ಪಣಿ,(ನಾ),"ವಿವರಣೆ, ವ್ಯಾಖ್ಯಾನ, ವಿಶೇಷ ಸಂದರ್ಭಗಳಲ್ಲಿ ಮುಖ್ಯ ವಿಷಯಗಳನ್ನು ಮಾತ್ರ ನೆನಪಿಗಾಗಿ ಗುರುತು ಮಾಡಿಕೊಂಡ ಬರೆವಣಿಗೆ, ಲಘು ವ್ಯಾಖ್ಯಾನ."
ಟಿಸಿಲು,(ನಾ),"ಕೊಂಬೆ, ಶಾಖೆ, ಸೀಳು."
ಟೀ,(ನಾ),ಚಹಾ.
ಟೀಕಾಕಾರ,(ನಾ),ವ್ಯಾಖ್ಯಾನ ಬರೆಯುವವನು.
ಟೀಕು,(ನಾ),"ಅರ್ಥವಿವರಣೆ, ವ್ಯಾಖ್ಯಾನ."
ಟೀಕೆ,(ನಾ),"ಅರ್ಥವಿವರಣೆ, ತಪ್ಪನ್ನು ಎತ್ತಿತೋರಿಸುವಿಕೆ, ಆಕ್ಷೇಪಣೆ, ಗುಣದೋಷ ವಿಮರ್ಶೆ."
ಟೂ ಬಿಡು,(ಕ್ರಿ),"ಸಿಟ್ಟು ಮಾಡು, ಮುನಿಸುಗೊಳ್ಳು, ಸಂಗ ತೊರೆ."
ಟೆಂಟಣಿಸು,(ಕ್ರಿ),"ವಿರೋಧಿಸು, ಉತ್ಸಾಹಪಡು, ಕಂಪಿಸು."
ಟೆಬ್ಬರಿಸು,(ಕ್ರಿ),"ಪಟ್ಟು ಹಿಡಿ, ಕುಗ್ಗಿಸು, ಉತ್ಸಾಹಗೊಳ್ಳು."
ಟೊಂಕ,(ನಾ),ಸೊಂಟ.
ಟೊಂಗೆ,(ನಾ),"ಕೊಂಬೆ, ಶಾಖೆ."
ಟೊಣಪ,(ನಾ),"ದಾಂಡಿಗ, ಮೂರ್ಖ."
ಟೊಣೆ,(ಕ್ರಿ),"ವಂಚಿಸು, ಕದಿ, ಇರಿ, ಸೋಲಿಸು, ತಿರಸ್ಕರಿಸು."
ಟೊಪ್ಪಿಗೆ,(ನಾ),"ಟೋಪಿ, ಶಿರಸ್ತ್ರಾಣ."
ಟೊಳ್ಳು,"(ನಾ),(ಗು)",ಒಳಗೆ ತಿರುಳಿಲ್ಲದಿರುವುದು. ಹುರುಳಿಲ್ಲದ.
ಟೋಕು,(ನಾ),ಒಟ್ಟಾರೆ ಲೆಕ್ಕ.
ಟೋಪಿ,(ನಾ),ಹೊಲಿದು ಸಿದ್ದಪಡಿಸಿದ ತಲೆಯ ಉಡುಪು.
ಠಕ್ಕ,(ನಾ),ಮೋಸಗಾರ.
ಠಕ್ಕು,(ನಾ),"ಮೋಸ, ವಂಚನೆ."
ಠರಾವು,(ನಾ),"ತೀರ್ಮಾನ, ಗೊತ್ತುವಳಿ."
ಠಸ್ಸೆ,(ನಾ),ಒತ್ತುವ ಮುದ್ರೆ.
ಠಸ್ಸೆ ಪತ್ರ,(ನಾ),ಅಧಿಕೃತ ಪತ್ರ.
ಠಳಾಯಿಸು,(ಕ್ರಿ),"ಅತ್ತಿಂದಿತ್ತ ತಿರುಗಾಡು, ಅಡ್ಡಾಡು."
ಠಾಕುಠೀಕು,(ನಾ),"ಆಡಂಬರ, ಡೌಲು."
